2025-02-20 00:17:34:INFO:Syncing external DB.
2025-02-20 00:17:35:INFO:HTTP Request: GET https://donkie.github.io/SpoolmanDB/filaments.json "HTTP/1.1 200 OK"
2025-02-20 00:17:35:INFO:HTTP Request: GET https://donkie.github.io/SpoolmanDB/materials.json "HTTP/1.1 200 OK"
2025-02-20 00:17:36:INFO:External DB synced. Filaments: 4764, Materials: 29
2025-02-20 00:36:27:INFO:Performing scheduled database backup.
2025-02-20 00:36:27:INFO:Deleting oldest backup /home/orangepi/.local/share/spoolman/backups/spoolman.db.5
2025-02-20 00:36:27:INFO:Backing up SQLite database to /home/orangepi/.local/share/spoolman/backups/spoolman.db
2025-02-20 00:36:27:INFO:Copied 1 of 24 pages.
2025-02-20 00:36:27:INFO:Copied 2 of 24 pages.
2025-02-20 00:36:27:INFO:Copied 3 of 24 pages.
2025-02-20 00:36:27:INFO:Copied 4 of 24 pages.
2025-02-20 00:36:27:INFO:Copied 5 of 24 pages.
2025-02-20 00:36:27:INFO:Copied 6 of 24 pages.
2025-02-20 00:36:27:INFO:Copied 7 of 24 pages.
2025-02-20 00:36:27:INFO:Copied 8 of 24 pages.
2025-02-20 00:36:27:INFO:Copied 9 of 24 pages.
2025-02-20 00:36:27:INFO:Copied 10 of 24 pages.
2025-02-20 00:36:27:INFO:Copied 11 of 24 pages.
2025-02-20 00:36:27:INFO:Copied 12 of 24 pages.
2025-02-20 00:36:27:INFO:Copied 13 of 24 pages.
2025-02-20 00:36:27:INFO:Copied 14 of 24 pages.
2025-02-20 00:36:27:INFO:Copied 15 of 24 pages.
2025-02-20 00:36:27:INFO:Copied 16 of 24 pages.
2025-02-20 00:36:27:INFO:Copied 17 of 24 pages.
2025-02-20 00:36:27:INFO:Copied 18 of 24 pages.
2025-02-20 00:36:27:INFO:Copied 19 of 24 pages.
2025-02-20 00:36:27:INFO:Copied 20 of 24 pages.
2025-02-20 00:36:27:INFO:Copied 21 of 24 pages.
2025-02-20 00:36:27:INFO:Copied 22 of 24 pages.
2025-02-20 00:36:27:INFO:Copied 23 of 24 pages.
2025-02-20 00:36:27:INFO:Copied 24 of 24 pages.
2025-02-20 00:36:27:INFO:Backup complete.
2025-02-20 01:17:34:INFO:Syncing external DB.
2025-02-20 01:17:35:INFO:HTTP Request: GET https://donkie.github.io/SpoolmanDB/filaments.json "HTTP/1.1 200 OK"
2025-02-20 01:17:35:INFO:HTTP Request: GET https://donkie.github.io/SpoolmanDB/materials.json "HTTP/1.1 200 OK"
2025-02-20 01:17:36:INFO:External DB synced. Filaments: 4764, Materials: 29
2025-02-20 02:17:34:INFO:Syncing external DB.
2025-02-20 02:17:35:INFO:HTTP Request: GET https://donkie.github.io/SpoolmanDB/filaments.json "HTTP/1.1 200 OK"
2025-02-20 02:17:36:INFO:HTTP Request: GET https://donkie.github.io/SpoolmanDB/materials.json "HTTP/1.1 200 OK"
2025-02-20 02:17:36:INFO:External DB synced. Filaments: 4764, Materials: 29
2025-02-20 02:44:05:INFO:Client 192.168.1.2 is now listening on pool 
2025-02-20 02:47:24:INFO:Client 192.168.1.2 has stopped listening on pool 
2025-02-20 02:47:25:INFO:Client 192.168.1.2 is now listening on pool 
2025-02-20 02:58:00:INFO:Client 192.168.1.2 has stopped listening on pool 
2025-02-20 02:58:08:INFO:Client 192.168.1.2 is now listening on pool 
2025-02-20 02:58:37:INFO:Client 192.168.1.2 is now listening on pool spool
2025-02-20 02:58:37:INFO:Client 192.168.1.2 is now listening on pool filament
2025-02-20 02:58:37:INFO:Client 192.168.1.2 is now listening on pool filament,1
2025-02-20 02:58:37:INFO:Client 192.168.1.2 is now listening on pool filament,2
2025-02-20 02:58:37:INFO:Client 192.168.1.2 is now listening on pool filament,3
2025-02-20 02:58:37:INFO:Client 192.168.1.2 is now listening on pool filament,4
2025-02-20 02:58:37:INFO:Client 192.168.1.2 is now listening on pool filament,5
2025-02-20 02:58:37:INFO:Client 192.168.1.2 is now listening on pool filament,6
2025-02-20 02:58:37:INFO:Client 192.168.1.2 is now listening on pool filament,7
2025-02-20 02:58:37:INFO:Client 192.168.1.2 is now listening on pool filament,8
2025-02-20 02:58:37:INFO:Client 192.168.1.2 is now listening on pool filament,9
2025-02-20 02:58:37:INFO:Client 192.168.1.2 is now listening on pool filament,10
2025-02-20 02:58:37:INFO:Client 192.168.1.2 has stopped listening on pool spool
2025-02-20 02:58:41:INFO:Client 192.168.1.2 has stopped listening on pool filament
2025-02-20 02:58:41:INFO:Client 192.168.1.2 has stopped listening on pool filament,1
2025-02-20 02:58:41:INFO:Client 192.168.1.2 has stopped listening on pool filament,5
2025-02-20 02:58:41:INFO:Client 192.168.1.2 has stopped listening on pool filament,2
2025-02-20 02:58:41:INFO:Client 192.168.1.2 has stopped listening on pool filament,4
2025-02-20 02:58:41:INFO:Client 192.168.1.2 has stopped listening on pool filament,3
2025-02-20 02:58:41:INFO:Client 192.168.1.2 has stopped listening on pool filament,9
2025-02-20 02:58:41:INFO:Client 192.168.1.2 has stopped listening on pool filament,7
2025-02-20 02:58:41:INFO:Client 192.168.1.2 has stopped listening on pool filament,6
2025-02-20 02:58:41:INFO:Client 192.168.1.2 has stopped listening on pool filament,8
2025-02-20 02:58:41:INFO:Client 192.168.1.2 has stopped listening on pool filament,10
2025-02-20 02:59:25:INFO:Client 192.168.1.2 is now listening on pool filament
2025-02-20 02:59:25:INFO:Client 192.168.1.2 is now listening on pool filament,1
2025-02-20 02:59:25:INFO:Client 192.168.1.2 is now listening on pool filament,2
2025-02-20 02:59:25:INFO:Client 192.168.1.2 is now listening on pool filament,3
2025-02-20 02:59:25:INFO:Client 192.168.1.2 is now listening on pool filament,4
2025-02-20 02:59:25:INFO:Client 192.168.1.2 is now listening on pool filament,5
2025-02-20 02:59:25:INFO:Client 192.168.1.2 is now listening on pool filament,6
2025-02-20 02:59:25:INFO:Client 192.168.1.2 is now listening on pool filament,7
2025-02-20 02:59:25:INFO:Client 192.168.1.2 is now listening on pool filament,8
2025-02-20 02:59:25:INFO:Client 192.168.1.2 is now listening on pool filament,9
2025-02-20 02:59:25:INFO:Client 192.168.1.2 is now listening on pool filament,10
2025-02-20 02:59:25:INFO:Client 192.168.1.2 is now listening on pool filament,1
2025-02-20 02:59:25:INFO:Client 192.168.1.2 is now listening on pool filament,2
2025-02-20 02:59:25:INFO:Client 192.168.1.2 is now listening on pool filament,3
2025-02-20 02:59:25:INFO:Client 192.168.1.2 is now listening on pool filament,4
2025-02-20 02:59:25:INFO:Client 192.168.1.2 is now listening on pool filament,5
2025-02-20 02:59:25:INFO:Client 192.168.1.2 is now listening on pool filament,6
